Date of Incident (month/day/year),Victim's race
1/26/2021,Unknown race
1/25/2021,White
1/24/2021,Black
1/24/2021,White
1/22/2021,White
1/21/2021,White
1/21/2021,Unknown race
1/21/2021,Hispanic
1/21/2021,White
1/20/2021,Black
1/20/2021,Unknown race
1/20/2021,Hispanic
1/19/2021,Unknown race
1/19/2021,White
1/18/2021,White
1/18/2021,White
1/18/2021,Black
1/17/2021,Unknown race
1/17/2021,Black
1/17/2021,Unknown race
1/15/2021,Unknown race
1/15/2021,Unknown race
1/15/2021,Black
1/15/2021,Unknown race
1/15/2021,White
1/14/2021,White
1/13/2021,Unknown race
1/13/2021,White
1/13/2021,Black
1/12/2021,Unknown race
1/12/2021,Unknown race
1/12/2021,White
1/11/2021,White
1/11/2021,Unknown race
1/11/2021,White
1/10/2021,Unknown race
1/10/2021,Unknown race
1/10/2021,White
1/10/2021,Unknown race
1/10/2021,Black
1/9/2021,White
1/9/2021,Unknown race
1/9/2021,Black
1/9/2021,Unknown race
1/9/2021,Black
1/8/2021,Unknown race
1/8/2021,Unknown race
1/8/2021,White
1/7/2021,White
1/6/2021,Unknown race
1/6/2021,White
1/6/2021,Unknown race
1/6/2021,Black
1/5/2021,Unknown race
1/5/2021,Unknown race
1/5/2021,White
1/5/2021,Black
1/5/2021,Unknown race
1/4/2021,Unknown race
1/4/2021,White
1/3/2021,White
1/3/2021,Black
1/3/2021,White
1/3/2021,Black
1/2/2021,Unknown race
1/1/2021,Unknown race
1/1/2021,Black
12/31/2020,Hispanic
12/31/2020,Unknown race
12/31/2020,Unknown race
12/30/2020,Black
12/30/2020,Pacific Islander
12/30/2020,Pacific Islander
12/30/2020,White
12/29/2020,Black
12/29/2020,White
12/29/2020,Unknown race
12/29/2020,Black
12/29/2020,Unknown race
12/28/2020,Black
12/28/2020,Hispanic
12/28/2020,White
12/28/2020,Unknown race
12/28/2020,Unknown race
12/28/2020,Unknown race
12/28/2020,Pacific Islander
12/28/2020,Unknown race
12/27/2020,Black
12/27/2020,White
12/26/2020,Black
12/25/2020,Hispanic
12/25/2020,Hispanic
12/25/2020,Unknown race
12/25/2020,Black
12/24/2020,White
12/24/2020,Unknown race
12/23/2020,Unknown race
12/22/2020,Black
12/22/2020,Hispanic
12/22/2020,White
12/21/2020,Hispanic
12/21/2020,Black
12/20/2020,White
12/19/2020,Unknown race
12/18/2020,Hispanic
12/18/2020,White
12/18/2020,Unknown race
12/18/2020,Unknown race
12/18/2020,Unknown race
12/17/2020,Hispanic
12/17/2020,White
12/17/2020,Unknown race
12/17/2020,Unknown race
12/16/2020,Black
12/16/2020,White
12/16/2020,White
12/15/2020,White
12/15/2020,Native American
12/15/2020,Hispanic
12/15/2020,White
12/14/2020,Unknown race
12/13/2020,Unknown race
12/13/2020,Hispanic
12/13/2020,Unknown race
12/13/2020,Unknown race
12/11/2020,Black
12/11/2020,Unknown race
12/11/2020,Black
12/10/2020,Hispanic
12/10/2020,White
12/10/2020,Unknown race
12/10/2020,Unknown race
12/10/2020,Unknown race
12/9/2020,Black
12/9/2020,White
12/9/2020,Unknown race
12/8/2020,White
12/8/2020,Unknown race
12/8/2020,Unknown race
12/7/2020,Unknown race
12/6/2020,Black
12/6/2020,Hispanic
12/6/2020,Black
12/5/2020,Unknown race
12/5/2020,Unknown race
12/5/2020,Black
12/5/2020,Unknown race
12/4/2020,Unknown race
12/4/2020,Unknown race
12/4/2020,White
12/4/2020,Black
12/4/2020,Black
12/3/2020,Unknown race
12/3/2020,Unknown race
12/3/2020,White
12/2/2020,Black
12/2/2020,Hispanic
12/1/2020,Black
12/1/2020,Black
12/1/2020,White
11/30/2020,Unknown race
11/30/2020,Black
11/29/2020,Unknown race
11/29/2020,Unknown race
11/29/2020,Hispanic
11/27/2020,Hispanic
11/27/2020,Unknown race
11/27/2020,Hispanic
11/27/2020,White
11/26/2020,Black
11/25/2020,White
11/24/2020,Unknown race
11/24/2020,Black
11/23/2020,Hispanic
11/23/2020,Hispanic
11/22/2020,White
11/22/2020,Unknown race
11/22/2020,White
11/22/2020,Unknown race
11/22/2020,Unknown race
11/21/2020,Unknown race
11/21/2020,White
11/20/2020,Unknown race
11/20/2020,Unknown race
11/20/2020,Unknown race
11/19/2020,Unknown race
11/19/2020,White
11/19/2020,Black
11/19/2020,Unknown race
11/19/2020,Black
11/18/2020,Hispanic
11/17/2020,Unknown race
11/17/2020,Black
11/17/2020,White
11/17/2020,White
11/17/2020,Black
11/16/2020,White
11/16/2020,Black
11/15/2020,Unknown race
11/15/2020,Black
11/14/2020,White
11/14/2020,Hispanic
11/14/2020,Unknown race
11/14/2020,White
11/13/2020,White
11/13/2020,White
